          kernel ,  prs ,     m ,     n ,     p ,        GLOPS/s ,   minimum (ms) ,     median (ms),   stab (%)
   rocblas_wo_dt ,   SP ,   500 ,     1 ,   500 ,      48.406702 ,       0.005147 ,       0.005155 ,   0.155205
   rocblas_wo_dt ,   SP ,   600 ,     1 ,   600 ,      64.076180 ,       0.005607 ,       0.005614 ,   0.112881
   rocblas_wo_dt ,   SP ,   700 ,     1 ,   700 ,      70.798017 ,       0.006889 ,       0.006921 ,   0.457298
   rocblas_wo_dt ,   SP ,   800 ,     1 ,   800 ,      88.100729 ,       0.007212 ,       0.007244 ,   0.450101
   rocblas_wo_dt ,   SP ,   900 ,     1 ,   900 ,      96.807071 ,       0.008133 ,       0.008220 ,   1.077819
   rocblas_wo_dt ,   SP ,  1000 ,     1 ,  1000 ,      73.751374 ,       0.009699 ,       0.015101 ,  55.703049
   rocblas_wo_dt ,   SP ,  1100 ,     1 ,  1100 ,      80.904320 ,       0.011902 ,       0.015440 ,  29.727564
   rocblas_wo_dt ,   SP ,  1200 ,     1 ,  1200 ,      97.881605 ,       0.011301 ,       0.015278 ,  35.189873
   rocblas_wo_dt ,   SP ,  1300 ,     1 ,  1300 ,     111.684304 ,       0.012116 ,       0.015402 ,  27.115309
   rocblas_wo_dt ,   SP ,  1400 ,     1 ,  1400 ,      90.816821 ,       0.020504 ,       0.021462 ,   4.674418
   rocblas_wo_dt ,   SP ,  1500 ,     1 ,  1500 ,     122.085140 ,       0.017977 ,       0.018220 ,   1.352785
   rocblas_wo_dt ,   SP ,  1600 ,     1 ,  1600 ,     145.801555 ,       0.017118 ,       0.017443 ,   1.894150
   rocblas_wo_dt ,   SP ,  1700 ,     1 ,  1700 ,     143.670887 ,       0.018864 ,       0.020018 ,   6.117290
   rocblas_wo_dt ,   SP ,  1800 ,     1 ,  1800 ,     157.469422 ,       0.019741 ,       0.020680 ,   4.758454
   rocblas_wo_dt ,   SP ,  1900 ,     1 ,  1900 ,     131.062073 ,       0.026102 ,       0.027781 ,   6.430398
   rocblas_wo_dt ,   SP ,  2000 ,     1 ,  2000 ,     162.684697 ,       0.022621 ,       0.024781 ,   9.548903
   rocblas_wo_dt ,   SP ,  2100 ,     1 ,  2100 ,     179.752308 ,       0.023804 ,       0.024118 ,   1.322115
   rocblas_wo_dt ,   SP ,  2200 ,     1 ,  2200 ,     193.490184 ,       0.023918 ,       0.024838 ,   3.847687
   rocblas_wo_dt ,   SP ,  2300 ,     1 ,  2300 ,     138.436476 ,       0.037823 ,       0.038238 ,   1.096823
