          kernel ,  prs ,     m ,     n ,     p ,        GLOPS/s ,   minimum (ms) ,     median (ms),   stab (%)
   rocblas_wo_dt ,   SP ,   500 ,     1 ,   500 ,      46.767144 ,       0.005329 ,       0.005341 ,   0.223714
   rocblas_wo_dt ,   SP ,   600 ,     1 ,   600 ,      61.268597 ,       0.005760 ,       0.005791 ,   0.538079
   rocblas_wo_dt ,   SP ,   700 ,     1 ,   700 ,      70.523664 ,       0.006869 ,       0.006950 ,   1.180146
   rocblas_wo_dt ,   SP ,   800 ,     1 ,   800 ,      88.373769 ,       0.007100 ,       0.007219 ,   1.678979
   rocblas_wo_dt ,   SP ,   900 ,     1 ,   900 ,      90.964319 ,       0.008080 ,       0.008221 ,   1.740927
   rocblas_wo_dt ,   SP ,  1000 ,     1 ,  1000 ,     106.978054 ,       0.009332 ,       0.009349 ,   0.178836
   rocblas_wo_dt ,   SP ,  1100 ,     1 ,  1100 ,     105.168052 ,       0.011487 ,       0.011505 ,   0.157742
   rocblas_wo_dt ,   SP ,  1200 ,     1 ,  1200 ,     133.423976 ,       0.010747 ,       0.010789 ,   0.390452
   rocblas_wo_dt ,   SP ,  1300 ,     1 ,  1300 ,     145.183794 ,       0.011623 ,       0.011640 ,   0.147692
   rocblas_wo_dt ,   SP ,  1400 ,     1 ,  1400 ,      81.749895 ,       0.023746 ,       0.023968 ,   0.934758
   rocblas_wo_dt ,   SP ,  1500 ,     1 ,  1500 ,     122.033814 ,       0.017819 ,       0.018160 ,   1.913299
   rocblas_wo_dt ,   SP ,  1600 ,     1 ,  1600 ,     145.229117 ,       0.017130 ,       0.017459 ,   1.920668
   rocblas_wo_dt ,   SP ,  1700 ,     1 ,  1700 ,     145.191609 ,       0.019641 ,       0.019779 ,   0.704054
   rocblas_wo_dt ,   SP ,  1800 ,     1 ,  1800 ,     163.498341 ,       0.019369 ,       0.019729 ,   1.858690
   rocblas_wo_dt ,   SP ,  1900 ,     1 ,  1900 ,     129.249158 ,       0.027261 ,       0.027630 ,   1.355606
   rocblas_wo_dt ,   SP ,  2000 ,     1 ,  2000 ,     139.781609 ,       0.028489 ,       0.028600 ,   0.389988
   rocblas_wo_dt ,   SP ,  2100 ,     1 ,  2100 ,     164.569517 ,       0.025921 ,       0.027039 ,   4.313834
   rocblas_wo_dt ,   SP ,  2200 ,     1 ,  2200 ,     176.951375 ,       0.026591 ,       0.027311 ,   2.707792
   rocblas_wo_dt ,   SP ,  2300 ,     1 ,  2300 ,     138.858475 ,       0.037849 ,       0.038061 ,   0.560630
   rocblas_wo_dt ,   SP ,  2400 ,     1 ,  2400 ,     179.122764 ,       0.031629 ,       0.032160 ,   1.680989
   rocblas_wo_dt ,   SP ,  2500 ,     1 ,  2500 ,     167.151585 ,       0.036330 ,       0.037391 ,   2.920331
   rocblas_wo_dt ,   SP ,  2600 ,     1 ,  2600 ,     185.064984 ,       0.036089 ,       0.036550 ,   1.275021
   rocblas_wo_dt ,   SP ,  2700 ,     1 ,  2700 ,     180.885115 ,       0.040128 ,       0.040250 ,   0.303012
   rocblas_wo_dt ,   SP ,  2800 ,     1 ,  2800 ,     179.032864 ,       0.043120 ,       0.043819 ,   1.620038
   rocblas_wo_dt ,   SP ,  2900 ,     1 ,  2900 ,     178.339833 ,       0.046980 ,       0.047140 ,   0.340015
   rocblas_wo_dt ,   SP ,  3000 ,     1 ,  3000 ,     186.005774 ,       0.048220 ,       0.048349 ,   0.266996
   rocblas_wo_dt ,   SP ,   500 ,     2 ,   500 ,     138.660871 ,       0.005388 ,       0.005400 ,   0.221239
   rocblas_wo_dt ,   SP ,   600 ,     2 ,   600 ,     180.931060 ,       0.005832 ,       0.005870 ,   0.654129
   rocblas_wo_dt ,   SP ,   700 ,     2 ,   700 ,     208.006300 ,       0.006959 ,       0.007069 ,   1.575882
   rocblas_wo_dt ,   SP ,   800 ,     2 ,   800 ,     259.707944 ,       0.007210 ,       0.007360 ,   2.083333
   rocblas_wo_dt ,   SP ,   900 ,     2 ,   900 ,     262.741884 ,       0.008271 ,       0.008481 ,   2.536754
   rocblas_wo_dt ,   SP ,  1000 ,     2 ,  1000 ,     315.848736 ,       0.009489 ,       0.009498 ,   0.095480
   rocblas_wo_dt ,   SP ,  1100 ,     2 ,  1100 ,     316.813237 ,       0.011437 ,       0.011456 ,   0.166771
   rocblas_wo_dt ,   SP ,  1200 ,     2 ,  1200 ,     401.443839 ,       0.010741 ,       0.010759 ,   0.166478
   rocblas_wo_dt ,   SP ,  1300 ,     2 ,  1300 ,     424.499661 ,       0.011920 ,       0.011943 ,   0.194016
   rocblas_wo_dt ,   SP ,  1400 ,     2 ,  1400 ,     230.612916 ,       0.025209 ,       0.025492 ,   1.123574
   rocblas_wo_dt ,   SP ,  1500 ,     2 ,  1500 ,     368.110226 ,       0.017848 ,       0.018101 ,   1.415977
   rocblas_wo_dt ,   SP ,  1600 ,     2 ,  1600 ,     436.579701 ,       0.017271 ,       0.017450 ,   1.035340
   rocblas_wo_dt ,   SP ,  1700 ,     2 ,  1700 ,     414.870408 ,       0.020349 ,       0.020781 ,   2.120680
   rocblas_wo_dt ,   SP ,  1800 ,     2 ,  1800 ,     464.351595 ,       0.020261 ,       0.020990 ,   3.600847
   rocblas_wo_dt ,   SP ,  1900 ,     2 ,  1900 ,     378.538162 ,       0.027730 ,       0.028701 ,   3.499269
   rocblas_wo_dt ,   SP ,  2000 ,     2 ,  2000 ,     416.963870 ,       0.028567 ,       0.028809 ,   0.847111
   rocblas_wo_dt ,   SP ,  2100 ,     2 ,  2100 ,     495.980674 ,       0.025859 ,       0.026870 ,   3.909275
   rocblas_wo_dt ,   SP ,  2200 ,     2 ,  2200 ,     501.338105 ,       0.028819 ,       0.028949 ,   0.451706
   rocblas_wo_dt ,   SP ,  2300 ,     2 ,  2300 ,     411.951431 ,       0.038300 ,       0.038500 ,   0.522908
   rocblas_wo_dt ,   SP ,  2400 ,     2 ,  2400 ,     520.632340 ,       0.032110 ,       0.033200 ,   3.393228
   rocblas_wo_dt ,   SP ,  2500 ,     2 ,  2500 ,     498.111777 ,       0.037351 ,       0.037630 ,   0.746840
   rocblas_wo_dt ,   SP ,  2600 ,     2 ,  2600 ,     546.422556 ,       0.036788 ,       0.037079 ,   0.790668
   rocblas_wo_dt ,   SP ,  2700 ,     2 ,  2700 ,     530.194284 ,       0.040870 ,       0.041261 ,   0.956715
   rocblas_wo_dt ,   SP ,  2800 ,     2 ,  2800 ,     531.648179 ,       0.043962 ,       0.044210 ,   0.564022
   rocblas_wo_dt ,   SP ,  2900 ,     2 ,  2900 ,     526.289447 ,       0.047710 ,       0.047920 ,   0.439758
   rocblas_wo_dt ,   SP ,  3000 ,     2 ,  3000 ,     539.739313 ,       0.049858 ,       0.049970 ,   0.224751
   rocblas_wo_dt ,   SP ,   500 ,     3 ,   500 ,     227.806927 ,       0.005448 ,       0.005481 ,   0.612691
   rocblas_wo_dt ,   SP ,   600 ,     3 ,   600 ,     297.673823 ,       0.005939 ,       0.005951 ,   0.200723
   rocblas_wo_dt ,   SP ,   700 ,     3 ,   700 ,     339.979222 ,       0.007081 ,       0.007219 ,   1.952862
   rocblas_wo_dt ,   SP ,   800 ,     3 ,   800 ,     423.805991 ,       0.007391 ,       0.007541 ,   2.032258
   rocblas_wo_dt ,   SP ,   900 ,     3 ,   900 ,     437.056744 ,       0.008411 ,       0.008631 ,   2.607710
   rocblas_wo_dt ,   SP ,  1000 ,     3 ,  1000 ,     517.870469 ,       0.009640 ,       0.009654 ,   0.145920
   rocblas_wo_dt ,   SP ,  1100 ,     3 ,  1100 ,     533.329071 ,       0.011311 ,       0.011335 ,   0.212892
