          kernel ,  prs ,     m ,     n ,     p ,        GLOPS/s ,   minimum (ms) ,     median (ms),   stab (%)
   rocblas_wo_dt ,   SP ,   500 ,     1 ,   500 ,      46.725698 ,       0.005310 ,       0.005338 ,   0.538841
   rocblas_wo_dt ,   SP ,   600 ,     1 ,   600 ,      61.359518 ,       0.005751 ,       0.005789 ,   0.663350
   rocblas_wo_dt ,   SP ,   700 ,     1 ,   700 ,      70.598428 ,       0.006859 ,       0.006940 ,   1.181787
   rocblas_wo_dt ,   SP ,   800 ,     1 ,   800 ,      88.035719 ,       0.007131 ,       0.007210 ,   1.103310
   rocblas_wo_dt ,   SP ,   900 ,     1 ,   900 ,      93.288499 ,       0.008121 ,       0.008221 ,   1.233118
   rocblas_wo_dt ,   SP ,  1000 ,     1 ,  1000 ,     107.112643 ,       0.009320 ,       0.009336 ,   0.171395
   rocblas_wo_dt ,   SP ,  1100 ,     1 ,  1100 ,     105.267649 ,       0.011483 ,       0.011495 ,   0.103814
   rocblas_wo_dt ,   SP ,  1200 ,     1 ,  1200 ,     133.482551 ,       0.010773 ,       0.010787 ,   0.128358
   rocblas_wo_dt ,   SP ,  1300 ,     1 ,  1300 ,     145.353442 ,       0.011614 ,       0.011626 ,   0.102642
   rocblas_wo_dt ,   SP ,  1400 ,     1 ,  1400 ,      89.234900 ,       0.021029 ,       0.021870 ,   4.002267
   rocblas_wo_dt ,   SP ,  1500 ,     1 ,  1500 ,     122.814707 ,       0.017459 ,       0.018160 ,   4.014748
   rocblas_wo_dt ,   SP ,  1600 ,     1 ,  1600 ,     146.418361 ,       0.016980 ,       0.017390 ,   2.415052
   rocblas_wo_dt ,   SP ,  1700 ,     1 ,  1700 ,     146.283750 ,       0.019460 ,       0.019610 ,   0.771870
   rocblas_wo_dt ,   SP ,  1800 ,     1 ,  1800 ,     163.999711 ,       0.019388 ,       0.019610 ,   1.143630
   rocblas_wo_dt ,   SP ,
